date,open,high,low,close,volume
2013-11-01,525.0,555.0,481.5,543.0,977840
2013-11-04,552.0,552.0,520.35,530.25,105773
2013-11-05,526.65,532.5,522.3,530.25,22513
2013-11-06,534.15,547.35,534.15,538.5,36640
2013-11-07,552.0,552.0,511.8,529.65,58913
2013-11-08,529.5,531.9,520.95,524.25,32553
2013-11-11,530.25,530.25,508.8,513.6,28700
2013-11-12,518.1,518.1,506.25,509.85,22093
2013-11-13,502.5,517.5,495.75,512.25,27967
2013-11-14,512.25,513.75,503.1,504.75,39087
2013-11-15,506.25,507.75,499.95,503.25,61613
2013-11-18,521.25,574.8,514.2,564.6,44640
2013-11-19,566.7,571.95,524.25,527.4,54353
2013-11-20,539.7,539.7,506.25,512.1,27840
2013-11-21,524.25,529.5,514.2,527.85,26293
2013-11-22,534.0,564.0,529.05,560.4,28987
2013-11-25,575.85,585.0,568.5,573.0,4013
2013-11-26,586.5,604.5,580.65,600.9,52647
2013-11-27,617.1,622.5,605.25,607.2,27573
2013-11-29,620.1,625.5,607.5,610.35,11327
2013-12-02,624.0,652.8,619.2,646.35,30567
2013-12-03,652.5,655.35,633.3,646.95,23693
2013-12-04,657.45,667.65,622.2,627.3,35340
2013-12-05,633.6,651.9,626.25,648.0,21707
2013-12-06,667.35,670.5,634.65,637.5,22960
2013-12-09,643.35,648.15,619.5,624.75,18120
2013-12-10,624.6,630.0,592.2,594.75,38227
2013-12-11,591.75,591.75,564.3,574.2,36733
2013-12-12,570.0,583.2,567.75,581.1,25300
2013-12-13,581.25,593.55,581.25,590.4,27927
2013-12-16,600.15,620.4,592.95,617.4,39153
2013-12-17,621.15,636.45,612.3,636.0,40820
2013-12-18,642.0,659.4,637.8,657.15,42513
2013-12-19,652.65,654.0,603.3,603.75,106027
2013-12-20,614.55,636.15,579.0,619.2,203493
2013-12-23,636.6,650.25,627.6,643.2,48620
2013-12-24,648.0,652.35,644.4,649.95,12353
2013-12-26,654.75,654.75,634.65,641.1,24333
2013-12-27,655.65,657.0,645.75,652.8,21473
2013-12-30,654.0,694.2,654.0,689.7,37980
2013-12-31,694.35,706.05,684.0,699.15,30720
2014-01-02,703.05,703.05,656.7,656.7,53253
2014-01-03,671.85,677.7,626.7,639.9,83153
2014-01-06,670.05,675.0,641.4,644.7,73420
2014-01-07,657.6,686.85,646.8,686.85,111820
2014-01-08,618.45,622.5,580.35,585.15,329353
2014-01-09,605.25,607.5,547.5,571.5,144540
2014-01-10,577.05,596.1,571.5,591.75,74280
2014-01-13,607.2,609.0,585.0,586.35,81600
2014-01-14,594.0,595.05,564.0,572.7,46173
2014-01-15,581.4,597.3,578.1,591.0,38060
2014-01-16,598.5,599.55,570.45,583.65,39267
2014-01-17,588.0,591.0,566.25,575.7,27233
2014-01-21,584.85,584.85,571.5,576.45,22893
2014-01-22,577.5,580.05,573.75,576.45,16740
2014-01-23,581.1,581.25,566.25,570.0,20760
2014-01-24,570.0,576.0,555.0,569.25,38007
2014-01-27,570.9,579.45,562.5,566.1,15640
2014-01-28,570.6,572.85,541.65,547.35,32647
2014-01-29,542.1,543.0,513.45,531.75,46893
2014-01-30,536.85,555.0,532.95,552.3,28700
2014-01-31,542.25,551.4,532.65,551.25,24213
2014-02-03,552.0,561.0,517.5,542.1,52373
2014-02-04,542.25,562.2,541.05,551.25,31033
2014-02-05,546.75,547.5,531.3,536.4,23880
2014-02-06,536.55,561.9,532.35,555.45,23780
2014-02-07,557.1,581.85,557.1,576.3,40373
2014-02-10,579.0,584.25,565.2,572.7,20680
2014-02-11,578.25,592.2,572.85,587.25,28460
2014-02-12,588.3,590.7,558.75,561.9,34307
2014-02-13,555.0,555.0,538.65,546.45,44200
2014-02-14,567.3,567.3,549.75,554.4,17187
2014-02-18,558.6,567.45,550.65,553.35,16593
2014-02-19,553.5,555.15,532.65,537.15,21813
2014-02-20,535.65,542.25,532.5,534.75,19773
2014-02-21,532.65,539.4,525.6,527.55,16060
2014-02-24,510.0,517.2,495.6,511.65,95140
2014-02-25,504.75,509.7,492.0,499.65,36293
2014-02-26,505.35,528.75,499.8,523.95,42233
2014-02-27,523.5,541.5,517.5,539.55,21020
2014-02-28,540.15,544.5,531.15,537.15,17253
2014-03-03,531.0,543.75,525.6,530.7,15773
2014-03-04,536.1,547.5,529.35,543.75,23180
2014-03-05,543.9,548.25,535.2,540.75,10093
2014-03-06,551.25,558.75,533.55,537.0,17380
2014-03-07,538.35,538.35,520.35,522.9,18733
2014-03-10,519.9,526.5,511.2,521.4,29373
2014-03-11,522.45,523.5,505.5,511.5,36780
2014-03-12,507.0,544.05,502.5,531.45,39460
2014-03-13,535.65,539.7,515.7,526.2,28293
2014-03-14,520.35,538.2,520.35,529.2,23147
2014-03-17,531.45,535.2,526.5,531.15,10660
2014-03-18,532.35,544.5,527.7,537.3,15613
2014-03-19,537.6,540.0,522.3,524.7,10493
2014-03-20,524.1,535.2,517.5,533.4,14080
2014-03-21,534.6,538.5,512.55,517.05,70920
2014-03-24,517.5,522.15,498.0,507.9,30533
2014-03-25,513.6,513.9,493.35,496.05,72067
2014-03-26,496.95,502.05,474.6,481.2,47453
2014-03-27,478.8,480.15,465.15,479.55,31973
2014-03-28,480.0,495.0,474.9,490.2,26513
2014-03-31,490.2,517.5,484.65,509.25,35693
2014-04-01,509.4,530.85,504.75,520.8,27187
2014-04-02,523.5,547.35,516.6,544.35,26773
2014-04-03,546.15,551.85,521.7,531.15,46007
2014-04-04,534.9,534.9,513.6,518.25,28627
2014-04-07,514.5,517.5,501.9,510.45,21353
2014-04-08,509.25,512.4,486.45,498.15,44333
2014-04-09,498.3,502.5,482.55,492.0,22667
2014-04-10,491.4,494.7,467.55,477.75,43000
2014-04-11,468.0,477.45,453.75,468.75,32340
2014-04-14,473.85,475.5,452.1,464.85,43987
2014-04-15,465.0,476.25,440.4,463.5,38847
2014-04-16,465.15,473.7,460.5,465.3,14913
2014-04-17,465.75,476.1,462.9,474.15,19200
2014-04-21,477.15,490.2,472.5,472.5,20113
2014-04-22,472.2,475.65,465.0,471.6,26380
2014-04-23,468.75,480.75,465.9,467.4,29413
2014-04-24,470.85,471.3,451.05,460.05,27060
2014-04-25,457.5,458.4,444.9,448.5,31373
2014-04-28,450.0,452.1,435.0,448.05,64520
2014-04-29,406.2,444.45,392.1,427.5,146953
2014-04-30,425.55,434.4,412.5,413.85,42600
2014-05-01,415.2,420.6,408.3,416.85,24673
2014-05-02,417.3,435.0,417.15,432.9,23307
2014-05-05,429.75,432.0,416.85,418.5,26480
2014-05-06,417.0,419.7,398.55,399.45,38400
2014-05-07,399.15,401.55,382.5,389.55,38613
2014-05-08,386.85,402.3,383.4,386.85,47553
2014-05-09,385.5,391.35,385.5,389.25,21033
2014-05-12,392.7,415.35,392.7,412.5,35567
2014-05-13,411.0,418.2,404.7,408.75,33067
2014-05-14,406.05,412.5,400.5,403.8,20113
2014-05-15,401.4,408.45,394.05,407.1,21127
2014-05-16,405.6,410.7,399.15,410.1,16673
2014-05-19,406.5,411.6,400.8,401.25,17927
2014-05-20,397.8,399.0,381.6,390.0,25480
2014-05-21,390.3,391.95,377.7,380.85,23327
2014-05-22,379.95,395.55,377.4,392.4,15427
2014-05-23,394.05,425.1,392.55,409.5,33940
2014-05-27,419.25,427.35,412.5,413.85,25687
2014-05-28,414.45,416.7,402.3,403.05,19333
2014-05-29,405.9,423.75,402.0,421.35,19053
2014-05-30,420.0,434.85,417.3,429.9,27720
2014-06-02,431.25,434.85,403.05,404.25,23353
2014-06-03,401.55,418.95,397.5,413.55,24407
2014-06-04,413.25,413.25,402.0,402.3,16560
2014-06-05,405.75,409.65,393.9,403.5,16727
2014-06-06,407.1,418.05,403.5,412.65,18253
2014-06-09,412.5,417.75,410.25,412.5,19187
2014-06-10,409.35,411.6,402.9,410.55,23513
2014-06-11,407.25,414.3,407.25,413.55,6107
2014-06-12,412.8,425.7,410.55,419.85,20407
2014-06-13,419.85,421.8,409.5,415.95,13187
2014-06-16,418.5,430.35,416.25,427.8,18407
2014-06-17,427.8,444.3,423.3,440.1,20200
2014-06-18,445.8,455.85,440.4,445.35,23560
2014-06-19,447.75,460.2,442.65,449.4,15067
2014-06-20,447.9,452.25,432.0,449.7,38107
2014-06-23,453.0,455.25,437.85,441.6,19500
2014-06-24,444.6,447.9,432.3,433.5,13033
2014-06-25,445.8,448.5,435.0,437.7,13493
2014-06-26,445.65,445.65,436.5,441.15,10193
2014-06-27,440.55,455.7,435.0,435.0,51793
2014-06-30,436.8,437.4,412.95,416.7,29613
2014-07-01,417.45,421.35,407.55,414.9,40887
2014-07-02,420.0,440.85,406.65,408.75,45020
2014-07-03,412.5,419.85,405.0,408.9,22687
2014-07-07,412.5,419.4,405.9,412.8,30887
2014-07-08,414.75,414.75,401.25,406.05,74960
2014-07-09,345.15,373.5,343.2,372.0,221473
2014-07-10,361.5,384.15,360.45,368.7,48313
2014-07-11,370.2,371.4,362.1,363.75,21707
2014-07-14,367.2,375.0,363.75,367.5,56400
2014-07-15,368.85,372.9,353.7,357.75,41680
2014-07-16,357.3,363.3,341.25,343.2,63327
2014-07-17,341.1,344.4,331.2,335.1,49260
2014-07-18,335.55,341.1,333.45,337.2,32807
2014-07-21,333.75,337.65,320.4,327.6,55160
2014-07-22,324.9,326.7,314.4,314.55,49273
2014-07-23,313.5,318.9,310.5,315.0,39020
2014-07-24,315.6,319.2,312.15,315.0,19867
2014-07-25,310.65,315.0,309.15,310.05,16060
2014-07-28,309.6,317.55,304.8,312.75,30847
2014-07-29,315.0,318.6,311.85,316.65,31120
2014-07-30,318.15,322.2,318.15,319.95,24873
2014-07-31,316.65,321.0,314.25,315.45,10460
2014-08-01,315.3,316.5,311.1,315.0,16260
2014-08-04,315.0,323.85,310.05,322.95,32153
2014-08-05,320.1,329.25,316.35,317.55,20553
2014-08-06,316.35,338.85,315.3,334.05,21513
2014-08-07,333.45,336.75,328.95,331.5,21613
2014-08-08,331.05,339.0,330.15,336.6,14893
2014-08-11,338.55,344.4,334.65,339.9,16033
2014-08-12,338.7,340.2,329.4,329.55,16133
2014-08-13,328.5,329.4,317.55,321.15,14507
2014-08-14,321.15,333.75,319.65,323.7,17260
2014-08-15,326.85,326.85,310.35,315.0,26967
2014-08-18,316.35,321.6,312.6,315.45,17873
2014-08-19,315.45,326.25,315.3,321.9,11547
2014-08-20,318.75,339.3,318.75,337.65,21980
2014-08-21,337.5,338.55,325.05,330.15,16233
2014-08-22,330.3,349.2,330.3,341.25,28680
2014-08-25,341.55,343.05,333.75,336.3,17513
2014-08-26,335.1,335.85,330.15,333.0,15560
2014-08-27,332.1,335.25,321.9,328.95,18547
2014-08-28,324.9,326.4,316.65,318.0,18227
2014-08-29,318.0,325.95,314.25,317.1,15033
2014-09-02,318.45,321.9,309.75,321.0,23547
2014-09-03,321.0,324.75,312.15,320.4,36067
2014-09-04,319.2,332.7,318.15,325.05,46353
2014-09-05,322.65,327.3,318.45,326.7,19160
2014-09-08,325.05,337.5,323.25,332.55,24747
2014-09-09,330.75,335.4,317.55,319.95,17693
2014-09-10,318.6,326.25,315.15,324.45,11833
2014-09-11,322.05,331.95,320.55,327.75,11880
2014-09-12,328.35,342.45,326.85,339.75,23087
2014-09-15,337.65,344.7,333.45,340.5,22373
2014-09-16,339.6,351.9,339.6,346.65,24420
2014-09-17,346.65,347.55,331.5,336.75,22027
2014-09-18,329.4,344.25,329.4,342.75,17007
2014-09-19,343.2,360.0,342.6,356.4,96387
2014-09-22,356.25,358.2,341.85,349.8,26295
2014-09-23,347.85,351.15,338.55,346.2,46502
2014-09-24,347.25,355.8,345.45,352.5,11336
2014-09-25,350.7,351.75,341.2275,347.7,16646
2014-09-26,347.25,348.45,340.95,345.6,7391
2014-09-29,344.55,352.35,333.15,338.55,16630
2014-09-30,337.8,339.9,324.45,326.55,16842
2014-10-01,325.8,327.0,316.65,321.45,24482
2014-10-02,321.45,339.0,321.45,337.35,27838
2014-10-03,341.4,348.375,338.1,341.55,32836
2014-10-06,342.0,347.25,325.9905,328.35,102835
2014-10-07,286.05,290.25,239.7,246.6,377603
2014-10-08,249.0,255.45,235.2,243.9,87610
2014-10-09,248.4,248.55,232.35,240.0,43305
2014-10-10,240.0,247.35,235.2,240.9,33072
2014-10-13,240.75,247.35,232.8,234.9,24125
2014-10-14,235.05,260.1,235.05,259.5,70408
2014-10-15,255.0,262.65,248.85,261.15,34423
